Prepare and sow outdoor seedbeds manually,1,Unit,5,1,5,Registered,Current,"Agriculture, Forestry and Fisheries",Horticulture,Production Horticulture
Maintain hand tools and service small engines used in a primary industry operation,4,Unit,6,2,5,Registered,Current,"Agriculture, Forestry and Fisheries",Primary Sector,Primary Sector Core Skills
"Describe the end use of crops and factors which affect crop yields, and interpret seed quality",15,Unit,6,2,2,Registered,Current,"Agriculture, Forestry and Fisheries",Agriculture,Farming Skills
Demonstrate knowledge of animal anatomy and physiology,18,Unit,6,3,4,Registered,Current,"Agriculture, Forestry and Fisheries",Agriculture,Farming Skills
Select fencing support materials,36,Unit,5,3,4,Registered,Current,"Agriculture, Forestry and Fisheries",Agriculture,Fencing
Install fencing wire,37,Unit,5,3,6,Registered,Current,"Agriculture, Forestry and Fisheries",Agriculture,Fencing
Install fence netting,39,Unit,5,3,8,Registered,Current,"Agriculture, Forestry and Fisheries",Agriculture,Fencing
Maintain a chainsaw,43,Unit,9,3,10,Registered,Current,"Agriculture, Forestry and Fisheries",Forestry,Forest Operations
Establish and maintain shelter,44,Unit,5,2,5,Registered,Current,"Agriculture, Forestry and Fisheries",Horticulture,Production Horticulture
Respond orally to customer enquiries,56,Unit,9,1,2,Registered,Current,Core Generic,Core Generic,Work and Study Skills
Provide customer service,57,Unit,9,2,2,Registered,Current,Service Sector,Service Sector Skills,Service Delivery
Maintain personal presentation and a positive attitude in a workplace involving customer contact,62,Unit,9,2,3,Registered,Current,Service Sector,Service Sector Skills,Service Delivery
Promote goods and/or services over the telephone,63,Unit,6,3,3,Registered,Current,Service Sector,"Retail, Distribution, and Sales",Merchandising and Marketing
Perform calculations for a specified workplace,64,Unit,9,1,2,Registered,Current,Core Generic,Core Generic,Work and Study Skills
Develop and use keyboarding skills to enter text,101,Unit,8,1,3,Expiring,Current,Business,Business Administration,Business Information Processing
Consolidate keyboarding skills and produce accurate text based documents,102,Unit,8,1,3,Expiring,Current,Business,Business Administration,Business Information Processing
Use data entry skills to input data,103,Unit,8,2,3,Expiring,Current,Business,Business Administration,Business Information Processing
Demonstrate knowledge of and apply audio transcription techniques to produce text,104,Unit,8,2,2,Expiring,Current,Business,Business Administration,Business Information Processing
Transcribe dictation at 80 words per minute (wpm),105,Unit,8,3,3,Expiring,Current,Business,Business Administration,Business Information Processing
Apply text processing skills to produce communications in a business or organisational context,107,Unit,8,2,5,Expiring,Current,Business,Business Administration,Business Information Processing
Apply text processing skills to produce business documents,108,Unit,8,3,5,Expiring,Current,Business,Business Administration,Business Information Processing
Use a word processor to produce documents for a business or organisation,111,Unit,9,2,5,Expiring,Current,Business,Business Administration,Business Information Processing
Produce business or organisational information using word processing functions,112,Unit,9,3,5,Expiring,Current,Business,Business Administration,Business Information Processing
Demonstrate knowledge of and use office automation systems,114,Unit,8,3,4,Expiring,Current,Business,Business Administration,Business Information Management
Write shorthand at 80 words per minute (wpm) and transcribe to produce required information,117,Unit,8,3,10,Registered,Current,Business,Business Administration,Business Information Processing
Demonstrate and apply knowledge of office equipment and administration processes,121,Unit,8,2,4,Registered,Current,Business,Business Administration,Business Administration Services
Provide safe and secure customer-focussed reception services,122,Unit,8,3,5,Registered,Current,Business,Business Administration,Business Administration Services
"Use office information, copying, and telecommunication systems",123,Unit,8,3,5,Expiring,Current,Business,Business Administration,Business Administration Services
Demonstrate knowledge of record management systems within an organisation,125,Unit,8,3,5,Expiring,Current,Business,Business Administration,Business Information Management
Operate a debarker,134,Unit,5,3,5,Registered,Current,Manufacturing,Wood Handling and Distribution,Wood Preparation
Fillet and build a packet of timber for further processing,143,Unit,7,2,3,Registered,Current,Manufacturing,Wood Handling and Distribution,Timber Yarding
Demonstrate knowledge of properties of wood,155,Unit,7,3,10,Registered,Current,Manufacturing,Wood Manufacturing - Generic Skills,Wood Manufacturing Foundation Skills
Demonstrate knowledge of phytosanitary standards in the wood manufacturing industry,156,Unit,10,2,3,Registered,Current,Manufacturing,Wood Manufacturing - Generic Skills,Wood Manufacturing Foundation Skills
Demonstrate knowledge of environmental issues in wood manufacturing industries,159,Unit,7,2,5,Registered,Current,Manufacturing,Wood Manufacturing - Generic Skills,Wood Manufacturing Foundation Skills
Demonstrate knowledge of the principles of sawmilling,160,Unit,7,2,7,Registered,Current,Manufacturing,Wood Manufacturing - Generic Skills,Wood Manufacturing Foundation Skills
Demonstrate knowledge of the principles of wood drying,162,Unit,8,2,5,Registered,Current,Manufacturing,Wood Manufacturing - Generic Skills,Wood Manufacturing Foundation Skills
Tally timber,164,Unit,5,2,3,Registered,Current,Manufacturing,Wood Handling and Distribution,Timber Yarding
"Handle, sort, and stack timber",165,Unit,5,2,3,Registered,Current,Manufacturing,Wood Handling and Distribution,Timber Yarding
Confirm log grades and scale logs,166,Unit,5,3,10,Registered,Current,Manufacturing,Wood Handling and Distribution,Wood Preparation
Practise food safety methods in a food business under supervision,167,Unit,8,2,4,Registered,Current,Service Sector,Hospitality,Food Safety
"Demonstrate knowledge of food contamination hazards, and control methods used in a food establishment",168,Unit,7,3,4,Registered,Current,Service Sector,Hospitality,Food Safety
Identify the occupational areas and structure of the New Zealand Automotive Industry,225,Unit,10,1,2,Expiring,Current,Engineering and Technology,Motor Industry,Automotive Administration
Perform safe working practices in an automotive workshop,226,Unit,10,2,2,Expiring,Current,Engineering and Technology,Motor Industry,Automotive Workshop Engineering
Carry out general engineering tasks to repair and make automotive components,227,Unit,10,2,4,Expiring,Current,Engineering and Technology,Motor Industry,Automotive Workshop Engineering
Select and use hand tools and workshop equipment for an automotive application,228,Unit,10,2,5,Expiring,Current,Engineering and Technology,Motor Industry,Automotive Workshop Engineering
Identify the general locations and functions of motor vehicle systems and main components,229,Unit,10,2,4,Registered,Current,Engineering and Technology,Motor Industry,Automotive Preventive Maintenance
Repair and manufacture automotive components by oxy-acetylene gas welding,230,Unit,10,2,3,Expiring,Current,Engineering and Technology,Motor Industry,Automotive Workshop Engineering
Demonstrate knowledge of the operation of two and four stroke petrol and diesel engines,231,Unit,11,2,4,Expiring,Current,Engineering and Technology,Motor Industry,Engines
Test an automotive electrical circuit,232,Unit,10,2,8,Expiring,Current,Engineering and Technology,Motor Industry,Automotive Electrical and Electronics
Service a lead-acid automotive battery,233,Unit,10,2,2,Expiring,Current,Engineering and Technology,Motor Industry,Automotive Electrical and Electronics
Demonstrate knowledge of automotive starting and charging systems and their operation,234,Unit,10,2,4,Expiring,Current,Engineering and Technology,Motor Industry,Automotive Electrical and Electronics
Demonstrate knowledge of automotive ignition systems and their operation,235,Unit,10,2,4,Expiring,Current,Engineering and Technology,Motor Industry,Automotive Electrical and Electronics
Service automotive cooling systems,236,Unit,10,2,4,Expiring,Current,Engineering and Technology,Motor Industry,Engine Repairs
"Describe automotive brake, steering, and suspension systems, and their operation",237,Unit,10,2,3,Expiring,Current,Engineering and Technology,Motor Industry,Automotive Preventative Maintenance
"Remove and replace wheels and tyres, and balance wheels",238,Unit,10,2,2,Expiring,Current,Engineering and Technology,Motor Industry,Tyres
Demonstrate knowledge of automotive manual transmissions,239,Unit,10,2,3,Expiring,Current,Engineering and Technology,Motor Industry,Automotive Transmission Systems
Demonstrate knowledge of petrol fuel systems,240,Unit,10,3,3,Expiring,Current,Engineering and Technology,Motor Industry,Automotive Fuel Systems and Exhaust
Describe the operation of a diesel fuel system and perform minor servicing tasks,241,Unit,10,2,3,Expiring,Current,Engineering and Technology,Motor Industry,Automotive Fuel Systems and Exhaust
Change the fluid and bleed a brake hydraulic system,242,Unit,10,2,2,Expiring,Current,Engineering and Technology,Motor Industry,Vehicle Braking Systems
Carry out basic tuning on a four stroke petrol engine under supervision,243,Unit,9,2,4,Registered,Current,Engineering and Technology,Motor Industry,Engines
Disassemble and reassemble a four stroke multi-cylinder engine to a running state,244,Unit,10,2,6,Registered,Current,Engineering and Technology,Motor Industry,Engines
Select and apply lubricants and sealants for automotive and related industry applications,245,Unit,10,2,2,Expiring,Current,Engineering and Technology,Motor Industry,Automotive Preventative Maintenance
Prepare a vehicle and/or machine for use and shutdown after use,247,Unit,9,2,2,Registered,Current,Engineering and Technology,Motor Industry,Automotive Preventive Maintenance
Describe an apprenticeship employment agreement for the automotive and related industries,248,Unit,9,2,1,Registered,Current,Engineering and Technology,Motor Industry,Automotive Administration
Carry out automotive industry personal workplace requirements,249,Unit,11,2,5,Expiring,Current,Engineering and Technology,Motor Industry,Automotive Administration
Perform process operations for injection moulding,252,Unit,6,1,4,Registered,Current,Manufacturing,Plastics Processing Technology,Injection Moulding
Control and optimise the injection moulding production process,255,Unit,6,3,12,Registered,Current,Manufacturing,Plastics Processing Technology,Injection Moulding
Control the production process for vacuum thermoforming,265,Unit,6,3,8,Registered,Current,Manufacturing,Plastics Processing Technology,Thermoforming
Control the production process for pressure thermoforming,266,Unit,6,3,8,Registered,Current,Manufacturing,Plastics Processing Technology,Thermoforming
Set up tooling for thermoforming,267,Unit,6,3,10,Registered,Current,Manufacturing,Plastics Processing Technology,Thermoforming
Service tooling for thermoforming,269,Unit,6,3,5,Registered,Current,Manufacturing,Plastics Processing Technology,Thermoforming
Set up and control operations for simple products for film conversion,277,Unit,6,2,12,Registered,Current,Manufacturing,Plastics Processing Technology,Film Conversion
Set up and control operations for advanced products for film conversion,278,Unit,6,3,14,Registered,Current,Manufacturing,Plastics Processing Technology,Film Conversion
"Set up, monitor, and adjust mono-layer production for blown film extrusion",289,Unit,6,2,12,Registered,Current,Manufacturing,Plastics Processing Technology,Blown Film Extrusion
Operate a blown film extrusion machine for co-extrusion production,291,Unit,6,2,8,Registered,Current,Manufacturing,Plastics Processing Technology,Blown Film Extrusion
"Set up, monitor, and adjust co-extrusion production for blown film extrusion",292,Unit,6,3,10,Registered,Current,Manufacturing,Plastics Processing Technology,Blown Film Extrusion
Service mono-layer dies and extruder screws for blown film extrusion,293,Unit,6,3,5,Registered,Current,Manufacturing,Plastics Processing Technology,Blown Film Extrusion
Operate an extrusion blow moulding machine,296,Unit,6,3,5,Registered,Current,Manufacturing,Plastics Processing Technology,Extrusion Blow Moulding
Run and monitor the extrusion blow moulding production process,297,Unit,6,3,10,Registered,Current,Manufacturing,Plastics Processing Technology,Extrusion Blow Moulding
Control and trial the extrusion blow moulding process for a simple extrusion blow mould,298,Unit,6,3,5,Registered,Current,Manufacturing,Plastics Processing Technology,Extrusion Blow Moulding
Service a simple mould for extrusion blow moulding,299,Unit,6,2,4,Registered,Current,Manufacturing,Plastics Processing Technology,Extrusion Blow Moulding
Service an advanced or complex mould for extrusion blow moulding,300,Unit,6,2,8,Registered,Current,Manufacturing,Plastics Processing Technology,Extrusion Blow Moulding
Set up simple moulds and ancillary equipment for extrusion blow moulding,302,Unit,6,3,8,Registered,Current,Manufacturing,Plastics Processing Technology,Extrusion Blow Moulding
Demonstrate and apply knowledge of financial transaction source documents,327,Unit,8,2,3,Registered,Current,Business,Business Administration,Business Administration Services
Identify the requirements for a financial record system for an entity,328,Unit,8,3,4,Expiring,Current,Business,Business Administration,Business Administration Services
Process financial information for cash transactions for an organisation,329,Unit,8,2,3,Registered,Current,Business,Business Administration,Business Administration Services
Demonstrate knowledge of and operate inventory systems,334,Unit,8,3,4,Expiring,Current,Business,Business Administration,Business Administration Services
Demonstrate knowledge of safe working practices in the print industry,340,Unit,6,2,5,Registered,Current,Manufacturing,Printing,Printing Production
Carry out routine and preventive maintenance common to the print industry,341,Unit,6,3,10,Registered,Current,Manufacturing,Printing,Printing Production
Undertake pre-make ready for sheet-fed offset printing,355,Unit,6,3,20,Registered,Current,Manufacturing,Printing,Printing - Sheet-Fed
Wash up a sheet-fed offset printing press,365,Unit,6,3,5,Registered,Current,Manufacturing,Printing,Printing - Sheet-Fed
Employ customer service techniques to accommodate customer behavioural styles in a workplace,376,Unit,8,3,2,Registered,Current,Service Sector,Service Sector Skills,Service Delivery
Demonstrate knowledge of diversity in workplaces,377,Unit,8,2,2,Registered,Current,Core Generic,Core Generic,Work and Study Skills
Provide customer service for international visitors,378,Unit,8,3,3,Registered,Current,Service Sector,Service Sector Skills,Service Delivery
Store a vehicle or machine,381,Unit,5,3,3,Expiring,Current,Engineering and Technology,Motor Industry,Automotive Preventive Maintenance
"Demonstrate knowledge of payment types, and carry out office procedures in an automotive company",382,Unit,6,3,4,Expiring,Current,Engineering and Technology,Motor Industry,Automotive Administration
Demonstrate knowledge of purchasing and storing automotive parts and accessories,383,Unit,6,3,3,Registered,Current,Engineering and Technology,Motor Industry,Automotive Sales
Sell automotive products,385,Unit,6,3,4,Expiring,Current,Engineering and Technology,Motor Industry,Automotive Sales
"Demonstrate knowledge of stock ordering, and maintain stock for an automotive business",387,Unit,6,3,6,Expiring,Current,Engineering and Technology,Motor Industry,Automotive Administration
"Prepare a quotation for the supply of an automotive product, repair, or service",391,Unit,6,3,3,Expiring,Current,Engineering and Technology,Motor Industry,Automotive Administration
Maintain automotive stock and plant security,392,Unit,7,2,2,Expiring,Current,Engineering and Technology,Motor Industry,Automotive Administration
Carry out automotive service station forecourt duties,393,Unit,4,3,5,Registered,Current,Engineering and Technology,Motor Industry,Automotive Sales
Detail and groom a vehicle,399,Unit,5,2,4,Registered,Current,Engineering and Technology,Motor Industry,Vehicle Bodywork
